system,bench,threads,runtime,total_commits,total_query_commits,total_aborts,total_sys_aborts,user_aborts,internal_aborts,si_aborts,serial_aborts,rw_aborts,phantom_aborts,longquery_tried
ermia,tpcc++,1,40,223916,0,0,0,0,0,0,0,0,0,
ermia,tpcc++,12,40,1272596,0,51203,51203,0,3964,20488,0,0,26751,
ermia,tpcc++,18,40,1801323,0,75109,75109,0,6053,30382,0,0,38674,
ermia,tpcc++,24,40,2347469,0,99290,99290,0,8131,40038,0,0,51121,
ermia,tpcc++,6,40,687722,0,25591,25591,0,2029,10578,0,0,12984,
ermia,tpcc_contention,1,40,1110791,0,0,0,0,0,0,0,0,0,
ermia,tpcc_contention,12,40,9577742,0,1260472,1260472,0,202923,916529,0,0,141020,
ermia,tpcc_contention,18,40,13506044,0,1823955,1823955,0,292411,1326953,0,0,204591,
ermia,tpcc_contention,24,40,16176364,0,2236418,2236418,0,350119,1634743,0,0,251556,
ermia,tpcc_contention,6,40,5182997,0,624572,624572,0,99093,457771,0,0,67708,
ermia,tpcc_org,1,40,1098832,0,0,0,0,0,0,0,0,0,
ermia,tpcc_org,12,40,11111007,0,1027,1027,0,0,1026,0,0,1,
ermia,tpcc_org,18,40,15428833,0,1458,1458,0,0,1455,0,0,3,
ermia,tpcc_org,24,40,18916072,0,1743,1743,0,0,1743,0,0,0,
ermia,tpcc_org,6,40,5900509,0,556,556,0,0,554,0,0,2,
ermia,tpce1,1,40,44181,16157,9863,1080,8783,4,0,0,0,6, 16157
ermia,tpce1,12,40,535906,196696,119711,13336,106375,28,51,0,0,123, 196731
ermia,tpce1,18,40,767297,282036,171574,19245,152329,51,122,0,0,224, 282133
ermia,tpce1,24,40,993028,364497,220318,24711,195607,67,206,0,0,365, 364652
ermia,tpce1,6,40,272515,100310,61686,6755,54931,21,14,0,0,49, 100320
ermia,tpce10,1,40,5306,1919,1166,120,1046,0,0,0,0,0, 1919
ermia,tpce10,12,40,55920,20551,12922,1396,11526,5,2,0,0,77, 20618
ermia,tpce10,18,40,77155,28402,17841,2022,15819,8,0,0,0,131, 28515
ermia,tpce10,24,40,96724,35613,22251,2578,19673,7,10,0,0,216, 35808
ermia,tpce10,6,40,31434,11512,7322,773,6549,1,0,0,0,25, 11529
ermia,tpce20,1,40,2453,878,561,69,492,0,0,0,0,1, 878
ermia,tpce20,12,40,27408,10186,6676,728,5948,3,1,0,0,64, 10246
ermia,tpce20,18,40,40649,15108,9757,1127,8630,2,0,0,0,104, 15204
ermia,tpce20,24,40,50431,18738,12175,1463,10712,4,2,0,0,209, 18937
ermia,tpce20,6,40,14242,5222,3394,350,3044,0,0,0,0,8, 5228
ermia,tpce40,1,40,1106,400,245,36,209,1,0,0,0,0, 400
ermia,tpce40,12,40,13410,5067,3448,381,3067,1,0,0,0,51, 5117
ermia,tpce40,18,40,19862,7419,4931,624,4307,1,0,0,0,113, 7525
ermia,tpce40,24,40,25194,9347,6353,834,5519,0,0,0,0,195, 9533
ermia,tpce40,6,40,6745,2545,1661,175,1486,0,0,0,0,5, 2548
ermia,tpce5,1,40,10776,3902,2324,263,2061,0,0,0,0,2, 3902
ermia,tpce5,12,40,120961,44449,27811,2955,24856,7,7,0,0,71, 44502
ermia,tpce5,18,40,168219,61872,38490,4198,34292,16,9,0,0,143, 61978
ermia,tpce5,24,40,161959,59616,37256,4157,33099,13,13,0,0,210, 59785
ermia,tpce5,6,40,65775,24243,15154,1594,13560,7,1,0,0,20, 24255
ermia,tpce60,1,40,706,262,179,23,156,0,0,0,0,0, 262
ermia,tpce60,12,40,8765,3351,2310,271,2039,0,0,0,0,58, 3406
ermia,tpce60,18,40,12855,4843,3397,435,2962,2,0,0,0,90, 4928
ermia,tpce60,24,40,15759,5853,4143,566,3577,0,0,0,0,146, 5993
ermia,tpce60,6,40,4278,1671,1131,122,1009,1,0,0,0,6, 1677
ermia,tpce80,1,40,548,197,139,19,120,0,0,0,0,0, 197
ermia,tpce80,12,40,6713,2513,1693,195,1498,0,0,0,0,33, 2543
ermia,tpce80,18,40,9764,3611,2660,403,2257,3,0,0,0,135, 3741
ermia,tpce80,24,40,12350,4502,3445,550,2895,1,0,0,0,217, 4716
ermia,tpce80,6,40,3336,1270,880,107,773,0,0,0,0,15, 1285
ermia,tpce_org,1,40,126648,0,39230,3401,35829,7,0,0,0,12,
ermia,tpce_org,12,40,1537316,0,466455,41572,424883,108,502,0,0,312,
ermia,tpce_org,18,40,2279998,0,692359,61708,630651,163,1195,0,0,472,
ermia,tpce_org,24,40,2880917,0,875719,78418,797301,243,2028,0,0,608,
ermia,tpce_org,6,40,790045,0,238721,21175,217546,68,114,0,0,127,
